Authors,Title,Year,Cited by,Link,Index Keywords
"Schoofs A., Sintoni A., Ruzzelli A.G., O'Hare G.M.P.","NetBem: Business equipment energy monitoring through network auditing",2010,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650922483&doi=10.1145%2f1878431.1878443&partnerID=40&md5=ea5fc8a78d23d6f5924042ef7cacccb3","Band detection; Cost saving; Electric heater; Electrical equipment; Energy expenditure; Energy monitoring; Environmental comfort; Fax machines; Home appliances; Informatics; Ireland; Low Power; Low-power consumption; Networked business; Office; Operating state; Power load; Usage patterns; Wireless routers; Working hours; Domestic appliances; Edge detection; Electric load forecasting; Embedded systems; Office buildings; Routers; Sensors; Local area networks"
"Jung D., Savvides A.","Estimating building consumption breakdowns using ON/OFF state sensing and incremental sub-meter deployment",2010,34,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650918681&doi=10.1145%2f1869983.1870006&partnerID=40&md5=8ef46bb50478d72f9fb9804351aea3d7","Binary sensors; Electricity-consumption; Energy breakdowns; Estimation problem; Estimation quality; Load estimation; Numerical simulation; Power breakdowns; Power meters; Proof of concept; Real measurements; Electric loads; Embedded systems; Monitoring; Optical parametric oscillators; Sensors; Estimation"
"Marwah M., Arlitt M., Hoover C., Bash C., Sharma R.","Exploratory analysis of aggregate power metrics in data centers",2010,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881453013&doi=10.1115%2fIMECE2010-39503&partnerID=40&md5=c08ae00b260fef777b75342a5c878598","Bangalore , India; Conventional energy sources; Data centers; Energy consumer; Exploratory analysis; Heavy-hitter; Power infrastructures; Power metrics; Climate change; Information technology; Mechanical engineering; Sustainable development; Systems analysis; Thermodynamics; Aggregates"
"Zaidi A.A., Kupzog F., Zia T., Palensky P.","Load recognition for automated demand response in microgrids",2010,29,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751542453&doi=10.1109%2fIECON.2010.5675022&partnerID=40&md5=4b3531edba1e1b82e03b19971e29acd6","Demand response; Dynamic time warping; Generation capacity; Key feature; Load recognition; Micro grid; Off-grids; Plug-and-play; Power Consumption; Power data; Recognition efficiency; Electric utilities; Feature extraction; Hidden Markov models; Industrial electronics; Mesh generation; Speech recognition"
"Fitta M., Biza S., Lehtonen M., Nieminen T., Jacucci G.","Exploring techniques for monitoring electric power consumption in households",2010,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881576637&partnerID=40&md5=70f09ecdec7031810bbbe97edc2c7037","Context aware services; Current harmonics; Electric power consumption; Electrical appliances; Energy awareness; Fingerprinting; Future applications; Load monitoring; Electric utilities; Feature extraction; Pattern recognition; Ubiquitous computing"
"Chang H.-H., Lin C.-L., Lee J.-K.","Load identification in nonintrusive load monitoring using steady-state and turn-on transient energy algorithms",2010,75,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953778216&doi=10.1109%2fCSCWD.2010.5472008&partnerID=40&md5=28fd07f49116a7ca25a5e08b0b20ed7b","Artificial Neural Network; Computational speed; CSCW; Electromagnetic transient program simulations; Energy signatures; Load identification; Load monitoring; Nonintrusive load monitoring; Recognition accuracy; Transient energy; Turn-on transient energy analysis; Turn-on transients; Computer simulation; Electric surges; Energy management; Interactive computer systems; Neural networks; Pattern recognition; Groupware"
"Chang H.-H., Lin C.-L.","A new method for load identification of nonintrusive energy management system in smart home",2010,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951787816&doi=10.1109%2fICEBE.2010.24&partnerID=40&md5=5654737808b41c0977f7b6a9b5f26df1","Artificial Neural Network; Computational time; Electric demand; Energy management system; Governmental policies; Load demand; Load identification; Management techniques; Multiple operations; NIEM; Non-intrusive; Power signatures; Recognition accuracy; Saving energy; Smart homes; Turn-on transient energy analysis; Turn-on transients; Electronic commerce; Energy efficiency; Energy management; Face recognition; Genetic programming; Neural networks"
"Kolter J.Z., Batra S., Ng A.Y.","Energy disaggregation via discriminative sparse coding",2010,190,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860602509&partnerID=40&md5=6987f3defe39b74a0ead4d8e24f816bf","Algorithmic methods; Disaggregation; Electricity meters; Energy information; Energy signals; Energy usage; Sparse coding; Structured prediction; Technical challenges; Algorithms; Energy conservation"
"McLaughlin S., Podkuiko D., Miadzvezhanka S., Delozier A., McDaniel P.","Multi-vendor penetration testing in the advanced metering infrastructure",2010,84,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751557822&doi=10.1145%2f1920261.1920277&partnerID=40&md5=5110ec79415d304e02324ee0731f3d78","Advanced metering infrastructures; Attack scenarios; Attack tree; Attack vector; Denial of Service; Electrical grids; Energy generations; Energy usage; Internal registers; Multi-vendor; Multiple vendors; New devices; Penetration testing; Real time; Roadmap; Security problems; Sensitive datas; Smart meters; Usage data; Security of data; Security systems; Computer applications"
"Frenken T., Wilken O., Hein A.","Technical approaches to unobtrusive geriatric assessments in domestic environments",2010,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890087194&partnerID=40&md5=027b876ac5f955b1b71d1ddac23caa66","Activity recognition; Ambient assisted living (AAL); Assessment approaches; Assessments; Geriatric assessments; Laser range scanners; Power sensor; Technical infrastructure; Carrier mobility; Scanning; Sensors; Geriatrics"
"Figueiredo M.B., De Almeida A., Ribeiro B., Martins A.","Extracting features from an electrical signal of a non-intrusive load monitoring system",2010,12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049396451&doi=10.1007%2f978-3-642-15381-5_26&partnerID=40&md5=b8fdd598d7dc512dc8ece00966fa2ec3","Aggregate consumption; Automated learning; Computational experiment; Digital signals; Electrical consumption; Electrical inputs; Electrical signal; Extracting features; Feature extraction and classification; Management problems; Nonintrusive load monitoring; Rectangular area; Signal processing technique; Signal samples; Steady state; Automation; Climate change; Energy efficiency; Engineering education; Intelligent systems; Monitoring; Signal processing; Feature extraction"
"Benyoucef D., Bier T., Klein P.","Planning of energy production and management of energy resources with Smart Meters",2010,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958019924&doi=10.1109%2fICAEE.2010.5557587&partnerID=40&md5=191cea197dad4831cd01efd87f127d42","Efficient planning; Electricity-consumption; Energy consumption; Energy productions; Energy supplies; Non-intrusive appliance load monitoring; Research areas; Smart grid; Smart meters; Energy resources; Energy utilization; Planning"
